amount,bv_number,hour,intensity,load,minute,month,point,precip,red_day,speed,temp,weekday
250,2,16,0,3,994,7,4,0,1,83,21,6
158,2,16,0,15,995,7,9,0,1,10,21,6
279,2,16,0,8,996,7,8,0,1,33,21,6
257,2,16,0,10,996,7,9,0,1,25,21,6
117,2,16,0,1,997,7,1,0,1,60,21,6
103,2,16,0,5,997,7,9,0,1,20,21,6
192,2,16,0,4,998,7,8,0,1,39,21,6
234,2,16,0,14,999,7,9,0,1,16,21,6
300,2,16,0,6,999,7,8,0,1,49,21,6
149,2,16,0,1,1000,7,4,0,1,86,21,6
300,2,16,0,6,1000,7,8,0,1,48,21,6
124,2,16,0,1,1001,7,4,0,1,84,21,6
272,2,16,0,19,1001,7,9,0,1,14,21,6
221,2,16,0,6,1002,7,8,0,1,36,21,6
43,2,16,0,0,1003,7,7,0,1,56,21,6
79,2,16,0,1,1003,7,8,0,1,46,21,6
108,2,16,0,4,1004,7,9,0,1,26,21,6
225,2,16,0,14,1004,7,9,0,1,16,21,6
215,2,16,0,2,1005,7,1,0,1,80,21,6
181,2,16,0,2,1006,7,6,0,1,61,21,6
289,2,16,0,3,1006,7,4,0,1,88,21,6
51,2,16,0,1,1007,7,8,0,1,44,21,6
281,2,16,0,3,1007,7,4,0,1,81,21,6
203,2,16,0,13,1008,7,9,0,1,15,21,6
108,2,16,0,3,1008,7,8,0,1,35,21,6
168,2,16,0,4,1009,7,8,0,1,37,21,6
58,2,16,0,0,1010,7,6,0,1,64,21,6
187,2,16,0,3,1010,7,6,0,1,61,21,6
69,3,16,0,2,1011,7,9,0,1,28,21,6
181,3,16,0,2,1011,7,6,0,1,64,21,6
92,3,16,0,1,1012,7,6,0,1,68,21,6
205,3,16,0,2,1013,7,4,0,1,87,21,6
178,3,16,0,9,1013,7,9,0,1,18,21,6
177,3,16,0,2,1014,7,5,0,1,76,21,6
222,3,16,0,3,1014,7,6,0,1,63,21,6
78,3,16,0,3,1015,7,9,0,1,25,21,6
118,3,16,0,1,1015,7,6,0,1,68,21,6
118,3,16,0,3,1016,7,8,0,1,35,21,6
287,3,16,0,6,1017,7,8,0,1,46,21,6
196,3,16,0,2,1017,7,6,0,1,66,21,6
120,3,16,0,4,1018,7,9,0,1,25,21,6
209,3,16,0,2,1018,7,5,0,1,74,21,6
238,3,16,0,4,1019,7,7,0,1,52,21,6
68,3,17,0,1,1020,7,8,0,1,45,19,6
112,3,17,0,1,1020,7,7,0,1,59,19,6
203,3,17,0,2,1021,7,4,0,1,87,19,6
186,3,17,0,2,1021,7,4,0,1,84,19,6
157,3,17,0,2,1022,7,5,0,1,73,19,6
226,3,17,0,3,1023,7,6,0,1,65,19,6
117,3,17,0,1,1023,7,4,0,1,81,19,6
79,3,17,0,1,1024,7,5,0,1,73,19,6
163,3,17,0,2,1024,7,6,0,1,66,19,6
130,3,17,0,2,1025,7,7,0,1,54,19,6
124,3,17,0,2,1025,7,7,0,1,54,19,6
263,3,17,0,9,1026,7,9,0,1,29,19,6
213,3,17,0,2,1027,7,4,0,1,85,19,6
80,3,17,0,4,1027,7,9,0,1,19,19,6
164,3,17,0,2,1028,7,7,0,1,55,19,6
53,3,17,0,0,1028,7,7,0,1,56,19,6
131,3,17,0,5,1029,7,9,0,1,24,19,6
173,3,17,0,8,1030,7,9,0,1,21,19,6
69,3,17,0,2,1030,7,9,0,1,28,19,6
181,3,17,0,2,1031,7,6,0,1,64,19,6
92,3,17,0,1,1031,7,6,0,1,68,19,6
205,3,17,0,2,1032,7,4,0,1,87,19,6
178,3,17,0,9,1033,7,9,0,1,18,19,6
177,3,17,0,2,1033,7,5,0,1,76,19,6
222,3,17,0,3,1034,7,6,0,1,63,19,6
78,3,17,0,3,1034,7,9,0,1,25,19,6
118,3,17,0,1,1035,7,6,0,1,68,19,6
118,3,17,0,3,1035,7,8,0,1,35,19,6
287,3,17,0,6,1036,7,8,0,1,46,19,6
196,3,17,0,2,1037,7,6,0,1,66,19,6
120,3,17,0,4,1037,7,9,0,1,25,19,6
209,3,17,0,2,1038,7,5,0,1,74,19,6
238,3,17,0,4,1038,7,7,0,1,52,19,6
68,3,17,0,1,1039,7,8,0,1,45,19,6
112,3,17,0,1,1040,7,7,0,1,59,19,6
203,3,17,0,2,1040,7,4,0,1,87,19,6
186,3,17,0,2,1041,7,4,0,1,84,19,6
157,3,17,0,2,1041,7,5,0,1,73,19,6
226,3,17,0,3,1042,7,6,0,1,65,19,6
117,3,17,0,1,1042,7,4,0,1,81,19,6
79,3,17,0,1,1044,7,5,0,1,73,19,6
172,5,17,0,9,1045,7,9,0,1,18,19,6
47,5,17,0,1,1045,7,8,0,1,31,19,6
233,5,17,0,4,1046,7,7,0,1,53,19,6
235,5,17,0,7,1046,7,8,0,1,33,19,6
122,5,17,0,4,1047,7,9,0,1,26,19,6
192,5,17,0,2,1048,7,4,0,1,88,19,6
43,5,17,0,3,1048,7,9,0,1,13,19,6
216,5,17,0,4,1049,7,8,0,1,47,19,6
83,5,17,0,1,1049,7,5,0,1,77,19,6
97,5,17,0,7,1050,7,9,0,1,13,19,6
141,5,17,0,1,1051,7,4,0,1,82,19,6
82,5,17,0,1,1051,7,7,0,1,59,19,6
161,5,17,0,1,1052,7,4,0,1,85,19,6
238,5,17,0,3,1052,7,6,0,1,65,19,6
286,5,17,0,28,1053,7,9,0,1,10,19,6
109,5,17,0,1,1053,7,6,0,1,68,19,6
261,5,17,0,17,1054,7,9,0,1,15,19,6
274,5,17,0,21,1055,7,9,0,1,13,19,6
173,5,17,0,3,1055,7,8,0,1,45,19,6
298,5,17,0,6,1056,7,8,0,1,45,19,6
45,5,17,0,0,1056,7,6,0,1,69,19,6
147,5,17,0,3,1057,7,8,0,1,41,19,6
207,5,17,0,3,1058,7,6,0,1,61,19,6
124,5,17,0,1,1058,7,4,0,1,85,19,6
98,5,17,0,4,1059,7,9,0,1,21,19,6
142,5,17,0,5,1059,7,9,0,1,24,19,6
163,5,17,0,3,1060,7,8,0,1,47,19,6
136,5,17,0,3,1060,7,8,0,1,41,19,6
293,5,17,0,5,1061,7,1,0,1,50,19,6
300,5,17,0,3,1062,7,4,0,1,85,19,6
277,5,17,0,8,1062,7,8,0,1,34,19,6
169,5,17,0,14,1063,7,9,0,1,12,19,6
164,5,17,0,9,1063,7,9,0,1,17,19,6
172,5,17,0,9,1064,7,9,0,1,18,19,6
47,5,17,0,1,1065,7,8,0,1,31,19,6
233,5,17,0,4,1065,7,7,0,1,53,19,6
235,5,17,0,7,1066,7,8,0,1,33,19,6
122,5,17,0,4,1066,7,9,0,1,26,19,6
192,5,17,0,2,1067,7,4,0,1,88,19,6
43,5,17,0,3,1068,7,9,0,1,13,19,6
216,5,17,0,4,1068,7,8,0,1,47,19,6
83,5,17,0,1,1069,7,5,0,1,77,19,6
97,5,17,0,7,1069,7,9,0,1,13,19,6
141,5,17,0,1,1070,7,4,0,1,82,19,6
82,5,17,0,1,1070,7,7,0,1,59,19,6
161,5,17,0,1,1071,7,4,0,1,85,19,6
238,5,17,0,3,1072,7,6,0,1,65,19,6
286,5,17,0,28,1072,7,9,0,1,10,19,6
109,5,17,0,1,1073,7,6,0,1,68,19,6
261,5,17,0,17,1073,7,9,0,1,15,19,6
274,5,17,0,21,1074,7,9,0,1,13,19,6
173,5,17,0,3,1075,7,8,0,1,45,19,6
298,5,17,0,6,1075,7,8,0,1,45,19,6
45,5,17,0,0,1076,7,6,0,1,69,19,6
147,5,17,0,3,1076,7,8,0,1,41,19,6
207,5,17,0,3,1077,7,6,0,1,61,19,6
124,5,17,0,1,1077,7,4,0,1,85,19,6
98,5,17,0,4,1078,7,9,0,1,21,19,6
142,5,17,0,5,1079,7,9,0,1,24,19,6
163,5,17,0,3,1079,7,8,0,1,47,19,6
136,5,18,0,3,1080,7,8,0,1,41,19,6
293,5,18,0,5,1080,7,1,0,1,50,19,6
300,5,18,0,3,1081,7,4,0,1,85,19,6
277,5,18,0,8,1082,7,8,0,1,34,19,6
169,5,18,0,14,1082,7,9,0,1,12,19,6
164,5,18,0,9,1083,7,9,0,1,17,19,6
168,5,18,0,1,1083,7,4,0,1,87,19,6
237,5,18,0,2,1084,7,4,0,1,83,19,6
141,5,18,0,2,1085,7,7,0,1,58,19,6
105,5,18,0,1,1085,7,5,0,1,77,19,6
79,5,18,0,4,1086,7,9,0,1,17,19,6
50,5,18,0,0,1086,7,1,0,1,70,19,6
198,5,18,0,2,1087,7,5,0,1,72,19,6
92,5,18,0,1,1087,7,7,0,1,51,19,6
289,5,18,0,12,1088,7,9,0,1,23,19,6
287,5,18,0,4,1089,7,1,0,1,60,19,6
61,5,18,0,0,1089,7,6,0,1,63,19,6
300,5,18,0,6,1090,7,8,0,1,44,19,6
151,5,18,0,3,1090,7,8,0,1,45,19,6
213,5,18,0,4,1091,7,7,0,1,52,19,6
212,5,18,0,21,1092,7,9,0,1,10,19,6
129,5,18,0,3,1092,7,8,0,1,37,19,6
143,5,18,0,3,1093,7,8,0,1,36,19,6
173,5,18,0,11,1093,7,9,0,1,15,19,6
147,5,18,0,7,1094,7,9,0,1,20,19,6
53,5,18,0,1,1094,7,8,0,1,48,19,6
176,5,18,0,6,1095,7,9,0,1,29,19,6
119,5,18,0,3,1096,7,8,0,1,39,19,6
48,5,18,0,3,1096,7,9,0,1,16,19,6
251,5,18,0,5,1097,7,8,0,1,44,19,6
224,5,18,0,10,1097,7,9,0,1,21,19,6
296,5,18,0,3,1098,7,5,0,1,77,19,6
253,5,18,0,4,1101,7,7,0,1,57,19,6
299,5,18,0,5,1101,7,7,0,1,53,19,6
64,5,18,0,3,1102,7,9,0,1,17,19,6
73,5,18,0,1,1103,7,8,0,1,44,19,6
174,5,18,0,6,1103,7,9,0,1,27,19,6
239,5,18,0,4,1104,7,1,0,1,50,19,6
127,5,18,0,1,1104,7,6,0,1,68,19,6
172,5,18,0,9,1105,7,9,0,1,18,19,6
47,5,18,0,1,1106,7,8,0,1,31,19,6
233,5,18,0,4,1106,7,7,0,1,53,19,6
235,5,18,0,7,1107,7,8,0,1,33,19,6
122,5,18,0,4,1107,7,9,0,1,26,19,6
192,5,18,0,2,1108,7,4,0,1,88,19,6
43,5,18,0,3,1108,7,9,0,1,13,19,6
216,5,18,0,4,1109,7,8,0,1,47,19,6
83,5,18,0,1,1110,7,5,0,1,77,19,6
97,5,18,0,7,1110,7,9,0,1,13,19,6
141,5,18,0,1,1111,7,4,0,1,82,19,6
82,5,18,0,1,1111,7,7,0,1,59,19,6
161,5,18,0,1,1112,7,4,0,1,85,19,6
238,5,18,0,3,1113,7,6,0,1,65,19,6
286,5,18,0,28,1113,7,9,0,1,10,19,6
109,5,18,0,1,1114,7,6,0,1,68,19,6
261,5,18,0,17,1114,7,9,0,1,15,19,6
274,5,18,0,21,1115,7,9,0,1,13,19,6
173,5,18,0,3,1115,7,8,0,1,45,19,6
298,5,18,0,6,1116,7,8,0,1,45,19,6
45,5,18,0,0,1117,7,6,0,1,69,19,6
147,5,18,0,3,1117,7,8,0,1,41,19,6
207,5,18,0,3,1118,7,6,0,1,61,19,6
124,5,18,0,1,1118,7,4,0,1,85,19,6
98,5,18,0,4,1119,7,9,0,1,21,19,6
142,5,18,0,5,1120,7,9,0,1,24,19,6
163,5,18,0,3,1120,7,8,0,1,47,19,6
136,5,18,0,3,1121,7,8,0,1,41,19,6
293,5,18,0,5,1121,7,1,0,1,50,19,6
300,5,18,0,3,1122,7,4,0,1,85,19,6
277,5,18,0,8,1123,7,8,0,1,34,19,6
169,5,18,0,14,1123,7,9,0,1,12,19,6
164,5,18,0,9,1124,7,9,0,1,17,19,6
168,5,18,0,1,1124,7,4,0,1,87,19,6
237,5,18,0,2,1125,7,4,0,1,83,19,6
141,5,18,0,2,1125,7,7,0,1,58,19,6
105,5,18,0,1,1126,7,5,0,1,77,19,6
79,5,18,0,4,1127,7,9,0,1,17,19,6
50,5,18,0,0,1127,7,1,0,1,70,19,6
198,5,18,0,2,1128,7,5,0,1,72,19,6
92,5,18,0,1,1128,7,7,0,1,51,19,6
289,5,18,0,12,1129,7,9,0,1,23,19,6
287,5,18,0,4,1130,7,1,0,1,60,19,6
61,5,18,0,0,1130,7,6,0,1,63,19,6
300,5,18,0,6,1131,7,8,0,1,44,19,6
151,5,18,0,3,1131,7,8,0,1,45,19,6
213,5,18,0,4,1132,7,7,0,1,52,19,6
212,5,18,0,21,1132,7,9,0,1,10,19,6
129,5,18,0,3,1133,7,8,0,1,37,19,6
143,5,18,0,3,1134,7,8,0,1,36,19,6
173,5,18,0,11,1134,7,9,0,1,15,19,6
147,5,18,0,7,1135,7,9,0,1,20,19,6
53,5,18,0,1,1135,7,8,0,1,48,19,6
176,5,18,0,6,1136,7,9,0,1,29,19,6
119,5,18,0,3,1137,7,8,0,1,39,19,6
48,5,18,0,3,1137,7,9,0,1,16,19,6
251,5,18,0,5,1138,7,8,0,1,44,19,6
224,5,18,0,10,1138,7,9,0,1,21,19,6
296,5,18,0,3,1139,7,5,0,1,77,19,6
253,5,19,0,4,1140,7,7,0,1,57,19,6
299,5,19,0,5,1140,7,7,0,1,53,19,6
64,5,19,0,3,1141,7,9,0,1,17,19,6
73,5,19,0,1,1141,7,8,0,1,44,19,6
174,5,19,0,6,1142,7,9,0,1,27,19,6
239,5,19,0,4,1142,7,1,0,1,50,19,6
127,5,19,0,1,1143,7,6,0,1,68,19,6
45,5,19,0,2,1144,7,9,0,1,20,19,6
257,5,19,0,3,1144,7,4,0,1,82,19,6
73,5,19,0,1,1145,7,8,0,1,48,19,6
275,5,19,0,3,1145,7,1,0,1,90,19,6
149,5,19,0,2,1146,7,7,0,1,53,19,6
161,5,19,0,4,1147,7,8,0,1,36,19,6
284,5,19,0,13,1147,7,9,0,1,21,19,6
287,5,19,0,6,1148,7,8,0,1,47,19,6
168,5,19,0,2,1148,7,4,0,1,82,19,6
44,5,19,0,0,1149,7,5,0,1,78,19,6
208,5,19,0,6,1149,7,8,0,1,33,19,6
116,5,19,0,2,1150,7,8,0,1,41,19,6
158,5,19,0,2,1151,7,7,0,1,56,19,6
179,5,19,0,17,1151,7,9,0,1,10,19,6
61,5,19,0,3,1152,7,9,0,1,19,19,6
100,5,19,0,1,1152,7,1,0,1,90,19,6
41,5,19,0,0,1153,7,8,0,1,48,19,6
156,5,19,0,13,1154,7,9,0,1,12,19,6
261,5,19,0,18,1154,7,9,0,1,14,19,6
133,5,19,0,1,1155,7,4,0,1,82,19,6
250,5,19,0,13,1155,7,9,0,1,19,19,6
209,5,19,0,3,1156,7,7,0,1,55,19,6
86,5,19,0,1,1157,7,7,0,1,56,19,6
89,5,19,0,1,1157,7,7,0,1,57,19,6
60,5,19,0,1,1158,7,8,0,1,46,19,6
83,5,19,0,3,1158,7,9,0,1,25,19,6
278,5,19,0,6,1159,7,8,0,1,44,19,6
265,5,19,0,3,1159,7,5,0,1,78,19,6
108,5,19,0,1,1160,7,6,0,1,64,19,6
224,5,19,0,7,1161,7,1,0,1,30,19,6
139,5,19,0,2,1161,7,8,0,1,47,19,6
267,5,19,0,3,1162,7,4,0,1,89,19,6
111,5,19,0,3,1162,7,8,0,1,34,19,6
172,5,19,0,9,1163,7,9,0,1,18,19,6
47,5,19,0,1,1164,7,8,0,1,31,19,6
233,5,19,0,4,1164,7,7,0,1,53,19,6
235,5,19,0,7,1165,7,8,0,1,33,19,6
122,5,19,0,4,1165,7,9,0,1,26,19,6
192,5,19,0,2,1166,7,4,0,1,88,19,6
43,5,19,0,3,1167,7,9,0,1,13,19,6
216,5,19,0,4,1167,7,8,0,1,47,19,6
83,5,19,0,1,1168,7,5,0,1,77,19,6
97,5,19,0,7,1168,7,9,0,1,13,19,6
141,5,19,0,1,1169,7,4,0,1,82,19,6
82,5,19,0,1,1169,7,7,0,1,59,19,6
161,5,19,0,1,1170,7,4,0,1,85,19,6
238,5,19,0,3,1171,7,6,0,1,65,19,6
286,5,19,0,28,1171,7,9,0,1,10,19,6
109,5,19,0,1,1172,7,6,0,1,68,19,6
261,5,19,0,17,1172,7,9,0,1,15,19,6
274,5,19,0,21,1173,7,9,0,1,13,19,6
173,5,19,0,3,1174,7,8,0,1,45,19,6
298,5,19,0,6,1174,7,8,0,1,45,19,6
45,5,19,0,0,1175,7,6,0,1,69,19,6
147,5,19,0,3,1175,7,8,0,1,41,19,6
207,5,19,0,3,1176,7,6,0,1,61,19,6
124,5,19,0,1,1176,7,4,0,1,85,19,6
98,5,19,0,4,1177,7,9,0,1,21,19,6
142,5,19,0,5,1178,7,9,0,1,24,19,6
163,5,19,0,3,1178,7,8,0,1,47,19,6
136,5,19,0,3,1179,7,8,0,1,41,19,6
293,5,19,0,5,1179,7,1,0,1,50,19,6
300,5,19,0,3,1180,7,4,0,1,85,19,6
277,5,19,0,8,1181,7,8,0,1,34,19,6
169,5,19,0,14,1181,7,9,0,1,12,19,6
164,5,19,0,9,1182,7,9,0,1,17,19,6
168,5,19,0,1,1182,7,4,0,1,87,19,6
237,5,19,0,2,1183,7,4,0,1,83,19,6
141,5,19,0,2,1184,7,7,0,1,58,19,6
105,5,19,0,1,1184,7,5,0,1,77,19,6
79,5,19,0,4,1185,7,9,0,1,17,19,6
50,5,19,0,0,1185,7,1,0,1,70,19,6
198,5,19,0,2,1186,7,5,0,1,72,19,6
92,5,19,0,1,1186,7,7,0,1,51,19,6
289,5,19,0,12,1187,7,9,0,1,23,19,6
287,5,19,0,4,1188,7,1,0,1,60,19,6
61,5,19,0,0,1188,7,6,0,1,63,19,6
300,5,19,0,6,1189,7,8,0,1,44,19,6
151,5,19,0,3,1189,7,8,0,1,45,19,6
213,5,19,0,4,1190,7,7,0,1,52,19,6
212,5,19,0,21,1191,7,9,0,1,10,19,6
129,5,19,0,3,1191,7,8,0,1,37,19,6
143,5,19,0,3,1192,7,8,0,1,36,19,6
173,5,19,0,11,1192,7,9,0,1,15,19,6
147,5,19,0,7,1193,7,9,0,1,20,19,6
53,5,19,0,1,1193,7,8,0,1,48,19,6
176,5,19,0,6,1194,7,9,0,1,29,19,6
119,5,19,0,3,1195,7,8,0,1,39,19,6
48,5,19,0,3,1195,7,9,0,1,16,19,6
251,5,19,0,5,1196,7,8,0,1,44,19,6
224,5,19,0,10,1196,7,9,0,1,21,19,6
296,5,19,0,3,1197,7,5,0,1,77,19,6
253,5,19,0,4,1198,7,7,0,1,57,19,6
299,5,19,0,5,1198,7,7,0,1,53,19,6
64,5,19,0,3,1199,7,9,0,1,17,19,6
73,5,19,0,1,1199,7,8,0,1,44,19,6
174,5,20,0,6,1200,7,9,0,1,27,18,6
239,5,20,0,4,1200,7,1,0,1,50,18,6
127,5,20,0,1,1201,7,6,0,1,68,18,6
45,5,20,0,2,1202,7,9,0,1,20,18,6
257,5,20,0,3,1202,7,4,0,1,82,18,6
73,5,20,0,1,1203,7,8,0,1,48,18,6
275,5,20,0,3,1203,7,1,0,1,90,18,6
149,5,20,0,2,1204,7,7,0,1,53,18,6
256,6,20,0,4,1205,7,7,0,1,58,18,6
299,6,20,0,5,1205,7,7,0,1,53,18,6
269,6,20,0,16,1206,7,9,0,1,16,18,6
213,6,20,0,9,1206,7,9,0,1,22,18,6
287,6,20,0,14,1207,7,9,0,1,20,18,6
170,6,20,0,4,1208,7,8,0,1,41,18,6
174,6,20,0,2,1208,7,1,0,1,70,18,6
73,6,20,0,0,1209,7,4,0,1,83,18,6
206,6,20,0,4,1209,7,1,0,1,50,18,6
49,6,20,0,1,1210,7,8,0,1,44,18,6
207,6,20,0,2,1211,7,5,0,1,74,18,6
202,6,20,0,4,1211,7,8,0,1,45,18,6
99,6,20,0,1,1212,7,7,0,1,57,18,6
95,6,20,0,5,1212,7,9,0,1,17,18,6
111,6,20,0,1,1213,7,4,0,1,89,18,6
196,6,20,0,9,1213,7,9,0,1,20,18,6
295,6,20,0,9,1214,7,8,0,1,31,18,6
259,6,20,0,9,1215,7,9,0,1,27,18,6
219,6,20,0,3,1215,7,6,0,1,66,18,6
280,6,20,0,6,1216,7,8,0,1,42,18,6
242,6,20,0,4,1216,7,1,0,1,50,18,6
102,6,20,0,1,1217,7,6,0,1,68,18,6
257,6,20,0,3,1218,7,5,0,1,75,18,6
83,6,20,0,7,1218,7,9,0,1,11,18,6
230,6,20,0,5,1219,7,8,0,1,43,18,6
118,6,20,0,2,1219,7,8,0,1,46,18,6
77,6,20,0,1,1220,7,5,0,1,73,18,6
235,6,20,0,8,1220,7,9,0,1,29,18,6
198,6,20,0,8,1221,7,9,0,1,23,18,6
217,6,20,0,3,1222,7,6,0,1,64,18,6
183,6,20,0,4,1222,7,8,0,1,37,18,6
114,6,20,0,2,1223,7,1,0,1,50,18,6
64,6,20,0,3,1223,7,9,0,1,20,18,6
256,6,20,0,4,1224,7,7,0,1,58,18,6
299,6,20,0,5,1225,7,7,0,1,53,18,6
269,6,20,0,16,1225,7,9,0,1,16,18,6
213,6,20,0,9,1226,7,9,0,1,22,18,6
287,6,20,0,14,1226,7,9,0,1,20,18,6
170,6,20,0,4,1227,7,8,0,1,41,18,6
174,6,20,0,2,1228,7,1,0,1,70,18,6
73,6,20,0,0,1228,7,4,0,1,83,18,6
206,6,20,0,4,1229,7,1,0,1,50,18,6
49,6,20,0,1,1229,7,8,0,1,44,18,6
207,6,20,0,2,1230,7,5,0,1,74,18,6
202,6,20,0,4,1230,7,8,0,1,45,18,6
99,6,22,0,1,1341,7,7,0,1,57,17,6
102,5,22,0,2,1342,7,8,0,1,38,17,6
42,5,22,0,0,1342,7,4,0,1,82,17,6
198,5,22,0,2,1343,7,4,0,1,84,17,6
72,5,22,0,1,1343,7,8,0,1,44,17,6
111,5,22,0,4,1344,7,9,0,1,26,17,6
71,5,22,0,1,1345,7,6,0,1,65,17,6
273,5,22,0,5,1345,7,8,0,1,48,17,6
78,5,22,0,1,1346,7,7,0,1,58,17,6
48,5,22,0,0,1346,7,6,0,1,62,17,6
229,5,22,0,12,1347,7,9,0,1,19,17,6
217,5,22,0,7,1348,7,8,0,1,31,17,6
300,5,22,0,23,1348,7,9,0,1,13,17,6
298,5,22,0,11,1349,7,9,0,1,27,17,6
62,5,22,0,0,1349,7,6,0,1,66,17,6
243,5,22,0,7,1350,7,8,0,1,34,17,6
243,5,22,0,4,1350,7,7,0,1,58,17,6
150,5,22,0,10,1351,7,9,0,1,14,17,6
52,5,22,0,0,1352,7,4,0,1,83,17,6
50,5,22,0,1,1352,7,8,0,1,49,17,6
286,5,22,0,4,1353,7,6,0,1,69,17,6
58,5,3,0,0,209,7,6,0,1,69,28,7
187,5,3,0,3,209,7,8,0,1,49,28,7
109,5,3,0,2,210,7,8,0,1,41,28,7
193,5,3,0,17,211,7,9,0,1,11,28,7
214,5,3,0,5,211,7,8,0,1,42,28,7
69,5,3,0,1,212,7,6,0,1,64,28,7
252,5,3,0,9,212,7,9,0,1,27,28,7
281,5,3,0,3,213,7,4,0,1,89,28,7
137,5,3,0,1,214,7,4,0,1,84,28,7
289,5,3,0,18,214,7,9,0,1,16,28,7
290,5,3,0,3,215,7,5,0,1,76,28,7
105,5,3,0,1,215,7,6,0,1,65,28,7
290,5,3,0,12,216,7,9,0,1,24,28,7
136,5,3,0,4,218,7,8,0,1,34,28,7
118,5,3,0,2,218,7,8,0,1,44,28,7
272,5,9,0,20,579,7,9,0,1,13,33,7
234,5,19,0,23,1182,7,9,0,1,10,18,1
176,5,19,0,2,1184,7,6,0,0,66,18,1
226,5,19,0,12,1184,7,9,0,0,18,18,1
53,5,19,0,1,1185,7,8,0,0,43,18,1
290,5,19,0,12,1185,7,9,0,0,24,18,1
142,5,16,0,3,989,7,8,0,0,36,22,2
100,5,22,0,1,1359,7,5,0,0,79,18,2
128,5,22,0,3,1378,7,8,0,0,39,18,2
121,5,22,0,6,1378,7,9,0,0,18,18,2
172,5,22,0,10,1379,7,9,0,0,16,18,2
48,5,22,0,0,1379,7,5,0,0,77,18,2
299,5,23,0,4,1380,7,6,0,0,65,17,2
207,5,23,0,2,1381,7,4,0,0,84,17,2
286,5,23,0,8,1381,7,8,0,0,32,17,2
163,5,23,0,2,1382,7,6,0,0,67,17,2
170,5,23,0,2,1382,7,4,0,0,82,17,2
254,5,23,0,9,1383,7,9,0,0,27,17,2
103,5,23,0,1,1384,7,7,0,0,59,17,2
85,5,23,0,1,1384,7,5,0,0,72,17,2
213,5,23,0,4,1385,7,8,0,0,47,17,2
217,5,23,0,9,1386,7,9,0,0,23,17,2
69,5,23,0,1,1387,7,6,0,0,64,17,2
194,5,23,0,3,1388,7,6,0,0,63,17,2
88,5,23,0,2,1388,7,8,0,0,35,17,2
281,5,23,0,3,1389,7,5,0,0,71,17,2
117,5,23,0,1,1389,7,6,0,0,68,17,2
227,5,23,0,9,1390,7,9,0,0,23,17,2
143,5,23,0,3,1391,7,8,0,0,42,17,2
160,5,23,0,6,1391,7,9,0,0,23,17,2
115,5,23,0,6,1392,7,9,0,0,18,17,2
281,5,23,0,6,1392,7,8,0,0,41,17,2
256,5,23,0,14,1393,7,9,0,0,18,17,2
163,5,23,0,7,1394,7,9,0,0,23,17,2
201,5,23,0,15,1394,7,9,0,0,13,17,2
267,5,23,0,3,1395,7,4,0,0,84,17,2
167,5,23,0,12,1395,7,9,0,0,13,17,2
239,5,23,0,11,1396,7,9,0,0,21,17,2
164,5,23,0,2,1397,7,5,0,0,79,17,2
252,5,23,0,9,1397,7,9,0,0,27,17,2
289,5,23,0,5,1398,7,7,0,0,53,17,2
210,5,23,0,4,1398,7,8,0,0,45,17,2
238,5,23,0,3,1399,7,5,0,0,79,17,2
90,5,23,0,1,1400,7,4,0,0,82,17,2
257,5,23,0,2,1400,7,1,0,0,90,17,2
